id,init_lai,up_limit,dn_limit,up_rate,dn_rate,root_depth,k_jan,k_feb,k_mar,k_apr,k_may,k_jun,k_jul,k_aug,k_sep,k_oct,k_nov,k_dec,name
1,1.0,2.0,0.75,1.5,0.85,0.25,0.214,0.139,0.048,0.077,0.212,0.262,0.426,0.365,0.34,0.213,0.197,0.227,Alpine-Dwarf Shrub
3,1.0,3.4,0.65,1.8,0.5,2.0,0.219,0.176,0.308,0.246,0.658,0.858,0.86,0.681,0.601,0.576,0.063,0.358,Annual Grassland
4,1.0,2.5,0.5,1.5,0.95,0.0,0.066,0.086,0.125,0.142,0.193,0.445,0.568,0.626,0.516,0.391,0.29,0.164,Alkali Desert Scrub
5,1.0,3.0,0.75,1.75,0.75,0.5,0.079,0.218,0.119,0.045,0.024,0.184,0.454,0.448,0.361,0.407,0.332,0.127,Aspen
6,1.0,1.7,0.9,1.1,0.95,0.25,0.045,0.078,0.138,0.17,0.115,0.163,0.175,0.215,0.213,0.24,0.198,0.113,Barren
7,1.0,2.2,0.85,1.25,0.85,0.0,0.022,0.137,0.302,0.303,0.207,0.342,0.184,0.191,0.222,0.17,0.098,0.036,Bitterbrush
8,1.0,1.5,0.9,1.4,0.75,1.25,0.121,0.131,0.123,0.17,0.149,0.337,0.448,0.621,0.558,0.496,0.413,0.276,Blue Oak-Foothill Pine
9,1.0,2.5,0.75,1.5,0.5,1.3,0.078,0.12,0.173,0.188,0.206,0.533,0.65,0.734,0.582,0.467,0.342,0.189,Blue Oak Woodland
10,1.0,1.5,0.9,1.0,0.95,1.25,0.13,0.227,0.311,0.382,0.352,0.491,0.515,0.488,0.421,0.327,0.27,0.158,Coastal Oak Woodland
11,1.0,1.05,0.95,1.025,0.975,1.5,0.415,0.348,0.233,0.417,0.51,0.676,0.722,0.897,0.949,0.875,0.819,0.627,Closed-Cone Pine-Cypress
12,1.0,2.3,0.95,1.7,0.75,2.1,0.17,0.18,0.25,0.32,0.41,0.76,0.79,0.88,0.91,0.81,0.7,0.52,Chamise-Redshank Chaparral
13,1.0,1.7,0.9,1.4,0.8,1.5,0.059,0.062,0.146,0.177,0.211,0.353,0.346,0.307,0.262,0.23,0.171,0.097,Coastal Scrub
14,1.0,1.4,0.95,1.2,0.975,2.0,0.496,0.457,0.339,0.556,0.521,0.693,0.647,0.797,0.82,0.874,0.864,0.717,Douglas Fir
15,1.0,1.0,1.0,1.0,1.0,0.5,0.352,0.35,0.384,0.292,0.33,0.584,0.574,0.82,1.062,1.208,1.09,0.776,Desert Riparian
17,1.0,2.5,0.95,2.0,0.1,1.0,0.44,0.34,0.371,0.244,0.274,0.486,0.504,0.714,0.84,0.84,0.714,0.645,Desert Scrub
18,1.0,2.8,0.75,1.025,0.975,0.0,0.001,0.005,0.012,0.023,0.026,0.056,0.021,0.005,0.002,0.002,0.004,0.006,Desert Succulent Shrub
19,1.0,1.5,0.95,2.1,0.3,1.5,0.043,0.042,0.197,0.224,0.129,0.231,0.184,0.188,0.217,0.215,0.189,0.119,Desert Wash
20,1.0,1.4,0.85,1.2,0.95,0.5,0.067,0.182,0.188,0.342,0.272,0.449,0.33,0.39,0.371,0.394,0.321,0.167,Eastside Pine
21,1.0,1.0,1.0,1.0,1.0,0.0,0.451,0.235,0.139,0.241,0.402,0.369,0.55,0.589,0.752,0.753,0.744,0.651,Estuarine
22,1.0,1.0,1.0,1.0,1.0,0.0,0.333,0.321,0.241,0.189,0.327,0.391,0.367,0.497,0.562,0.516,0.466,0.419,Fresh Emergent Wetland
24,1.0,1.65,0.95,1.25,0.9,1.5,0.112,0.086,0.131,0.272,0.221,0.449,0.395,0.435,0.428,0.45,0.409,0.288,Jeffrey Pine
25,1.0,3.2,0.95,1.5,0.975,1.8,0.625,0.566,0.166,0.404,0.338,0.658,0.574,0.604,0.629,0.625,0.625,0.625,Joshua Tree
26,1.0,3.0,0.9,1.25,0.85,1.5,0.014,0.131,0.133,0.23,0.216,0.283,0.185,0.277,0.215,0.162,0.09,0.032,Juniper
27,1.0,1.25,0.9,1.25,0.975,1.0,0.28,0.236,0.204,0.392,0.353,0.547,0.544,0.64,0.62,0.696,0.668,0.533,Klamath Mixed Conifer
28,1.0,1.0,1.0,1.0,1.0,0.0,0.654,0.628,0.551,0.778,0.808,0.926,0.858,0.951,0.954,0.922,0.91,0.852,Lacustrine
29,1.0,1.5,1.0,1.0,0.85,0.75,0.083,0.144,0.126,0.191,0.151,0.428,0.569,0.613,0.438,0.419,0.403,0.239,Lodgepole Pine
30,1.0,2.5,0.85,1.8,0.85,0.4,0.04,0.052,0.028,0.099,0.092,0.191,0.303,0.136,0.106,0.111,0.109,0.086,Low Sage
32,1.0,1.3,0.9,1.1,0.75,0.75,0.126,0.107,0.172,0.222,0.257,0.437,0.472,0.576,0.551,0.482,0.379,0.245,Mixed Chaparral
34,1.0,1.4,0.8,1.5,0.75,0.75,0.096,0.136,0.141,0.224,0.185,0.363,0.381,0.506,0.484,0.504,0.436,0.276,Montane Chaparral
35,1.0,1.4,0.95,1.5,0.975,1.25,0.398,0.472,0.379,0.533,0.448,0.589,0.61,0.755,0.793,0.832,0.803,0.609,Montane Hardwood-Conifer
36,1.0,1.5,0.9,1.0,0.75,1.0,0.27,0.224,0.158,0.227,0.282,0.471,0.534,0.741,0.758,0.718,0.652,0.471,Montane Hardwood
